但,conjunction,but,1,1
但,conjunction,however,2,2
但,conjunction,yet,2,2
但,adverb,still,1,3
但,adverb,only,1,3
但,adverb,merely,1,3
在,preposition,in,1,1
在,preposition,at,1,1
在,verb,be,1,2
在,verb,exist,1,2
在,verb,remain,1,2
在,verb,dwell,1,2
在,verb,be alive,1,2
在,verb,belong to an organization,1,2
在,verb,be located somewhere,1,2
在,verb,depend,1,2
2014年,noun,2014,0,0
创造,verb,create,1,1
创造,verb,produce,2,2
创造,verb,bring about,2,2
创造,verb,frame,2,2
了,verb,know,1,1
了,verb,understand,1,1
了,verb,finish,1,1
了,verb,settle,1,1
了,verb,dispose of,1,1
了,verb,look afar from a high place,1,1
了,adjective,clear,1,1
了,auxiliary verb,paste tense marker,1,1
13,number,13,0,0
连胜,noun,streak,1,1
的,preposition,of,1,1
的,noun,aim,1,2
的,adverb,really and truly,1,2
的,particle,<possessive particle>,1,2
的,axiliary verb,ablative cause suffix,1,2
的,suffix,-self,1,2
李娜,noun,Li Na,0,0
还是,conjunction,or,1,1
还是,conjunction,still,1,1
还是,adverb,nevertheless,2,2
应该,auxiliary verb,should,1,1
应该,auxiliary verb,ought to,2,2
应该,verb,must,1,2
为,preposition,for,1,1
为,verb,be,1,2
为,verb,serve as,2,2
为,verb,act as,2,2
为,verb,beome,2,2
为,verb,mean,2,2
为,verb,make,2,2
为,conjunction,because of,1,2
自己,pronoun,oneself,1,1
自己,pronoun,self,1,1
自己,noun,self,1,1
出色,adjective,outstanding,1,1
出色,adjective,remarkable,2,2
表现,noun,performance,1,1
表现,noun,expression,2,2
表现,noun,manifestation,2,2
表现,noun,show,2,2
表现,noun,display,3,3
表现,noun,behavior,2,2
表现,noun,representation,2,2
表现,noun,exhibition,3,3
表现,verb,show,1,2
表现,verb,express,1,2
表现,verb,behave,1,2
表现,verb,acquit,2,3
表现,verb,comport,2,3
表现,verb,represent,2,3
表现,verb,display,2,3
表现,verb,manifest,2,3
表现,verb,show off,2,3
感到,verb,feel,1,1
感到,verb,sense,1,1
感到,verb,find,2,2
感到,verb,think tht,3,3
感到,verb,have the feeling that,3,3
感到,verb,move,3,3
感到,verb,affect,3,3
感到,verb,sensate,3,3
自豪 ,noun,pride,1,1
自豪 ,verb,pride,1,1
。,punctuation,.,1,1
然而,conjunction,however,1,1
然而,conjunction,but,2,2
然而,conjunction,yet,2,2
一向,adverb,constantly,1,1
一向,adverb,lately,1,1
一向,adverb,the whole time,1,1
一向,adverb,earlier on,1,1
老实,adjective,honest,1,1
老实,adjective,frank,2,2
老实,adjective,naive,3,3
老实,adjective,simple-minded,3,3
霍华德,noun,Howard,0,0
这次,adjective,current,1,1
这次,adjective,present,2,2
这次,adverb,specifically,1,2
可,verb,can,1,1
可,verb,may,1,1
可,verb,be able to,2,2
可,verb,suit,2,2
可,verb,be worth,2,2
可,verb,approve,2,2
可,conjunction,but,1,2
可,conjunction,yet,1,2
可,adverb,certainly,1,2
可,particle,<particle used for emphasis>,1,2
算是,auxiliary verb,be,1,1
言行不一,noun,words and deeds,1,1
特大,adjective,especially big,1,1
特大,adjective,most,2,2
城市,noun,city,1,1
城市,noun,town,2,2
更,adjective,more,1,1
更,adverb,more,1,1
更,adverb,even more,2,2
更,adverb,further,2,2
更,adverb,still,3,3
更,adverb,what is more,3,3
更,noun,change,1,3
更,verb,change,1,3
更,verb,replace,1,3
完备,adjective,complete,1,1
完备,adjective,perfect,2,2
基础,noun,basis,1,1
基础,noun,foundation,1,1
基础,noun,base,1,1
基础,noun,hard plan,2,2
基础,adjective,basal,1,2
设施,noun,facility,1,1
设施,noun,installation,2,2
和,conjunction,and,1,1
和,noun,sum,2,2
和,noun,summation,2,2
和,noun,peace,2,2
和,adverb,together,1,2
和,verb,mix,1,2
和,verb,blend,1,2
和,verb,draw,1,2
和,verb,tie,1,2
和,verb,chime in,1,2
和,verb,compose a poem in reply,1,2
和,verb,join in the singing,1,2
和,verb,wriet a poem in reply,1,2
和,adjective,harmonious,1,2
和,adjective,kind,1,2
大,adjective,large,1,1
大,adjective,big,1,1
大,adjective,great,2,2
大,adjective,heavy,3,3
大,adjective,major,2,2
大,adjective,bigger,2,2
大,adjective,wide,2,2
大,adjective,huge,2,2
大,adjective,strong,3,3
大,adjective,oldest,3,3
大,adjective,considerable,3,3
大,adjective,coarse,3,3
大,adjective,out,3,3
消费,noun,consumption,1,1
消费,verb,consume,1,2
市场,noun,market,1,1
市场,noun,mart,2,2
市场,noun,bazaar,2,2
将,verb,will,1,1
将,verb,would,2,2
将,verb,use,3,3
将,verb,get,3,3
将,verb,prod,3,3
将,verb,incite to action,3,3
将,auxiliary verb,shall,1,2
将,preposition,by,1,3
将,preposition,with,1,3
将,adjective,ready,1,3
将,adjective,prepared,1,3
将,noun,general,1,3
将,noun,check,1,3
冬奥会,noun,Winter Olympics,0,0
带来,verb,bring,1,1
好,adjective,good,1,1
好,adverb,well,1,2
好,adverb,OK,1,2
好,adverb,fine,2,3
好,adverb,okay,2,3
好,adverb,okey,2,3
好,adverb,okey dokey,2,3
好,verb,love,1,3
好,verb,like,1,3
效益,noun,benefit,1,1
效益,noun,beneficial result,2,2
天津,noun,Tianjin,0,0
八一,noun,Eighty-one,0,0
是,auxiliary verb,be,1,1
是,verb,be,1,1
是,verb,exist,2,2
是,adjective,right,1,2
是,adjective,correct,1,2
国内,adjective,domestic,1,1
国内,adjective,internal,2,2
两,adjective,both,1,1
两,adjective,either,2,2
两,adjective,some,2,2
两,pronoun,both,1,1
两,adverb,a few,1,2
两,noun,ounce,1,2
支,verb,support,1,1
支,verb,sustain,2,2
支,verb,raise,2,2
支,verb,bear,2,2
支,verb,put up,2,2
支,verb,draw money,2,2
支,verb,pay money,2,2
支,verb,protrud,2,2
支,verb,put off,2,2
支,verb,send away,2,2
支,noun,branch,1,1
支,noun,division,2,2
支,auxiliary verb,measure word for troops,1,1
特点,noun,feature,1,1
特点,noun,characteristic,1,1
特点,noun,trait,2,2
特点,noun,peculiarity,2,2
特点,noun,distinguishing feature,2,2
特点,noun,particularity,2,2
特点,noun,charateristical,2,2
鲜明,adjective,bright,1,1
队伍,noun,contingent,1,1
队伍,noun,troop,1,1
队伍,noun,rank,2,2
队伍,noun,procession,2,2
现在,adverb,now,1,1
现在,adverb,at present,2,3
现在,adverb,nowadays,2,3
现在,noun,now,1,1
现在,noun,nowadays,2,3
现在,adjective,present,1,2
现在,adjective,current,1,2
现在,adjective,modern,2,3
还,adverb,also,1,1
还,adverb,still,2,2
还,adverb,yet,2,2
还,adverb,not yet,3,3
还,adverb,in addition,3,3
还,adverb,else,3,3
还,adverb,more,3,3
还,verb,return,1,3
还,verb,pay back,1,3
还,adjective,any more,1,3
不,adverb,not yet,1,1
不,adjective,no,1,2
不,noun,no,1,2
不,prefix,non-,1,2
不,prefix,a-,2,3
不,prefix,il-,2,3
不,prefix,im-,2,3
不,prefix,in-,2,3
